;Прайс-лист;;;;;
;;;;;;
;"ТОВ ""КАРП ЗУМ УКРАЇНА""";;;;;
;;;;;;
;У валютах цін.;;;;;
;Ціни зазначені на 10.08.2016;;;;;
;;;;;;
;;;;;;
;Номенклатура.Родитель/ Номенклатура;Залишок;Номенклатура.Артикул ;Розничная ЕВРО;;
;;;;Ціна;Од.;
;Услуги<(00002)>;;;;;
;    01. Catfish Jumbo Pellet (Пеллетс для сома)<(01472)>;;;;;
;        Predator-Z Catfish Jumbo Pellet, 30mm, 850g, bloody halibut  (Кровь-Палтус);;CZ0339;3,60 EUR;шт;
;        Predator-Z Catfish Jumbo Pellet, 30mm, 850g, liver-garlic (Печень-Чеснок);;CZ0377;3,60 EUR;шт;
;        Predator-Z Catfish Jumbo Pellet, 40mm, 850g, bloody halibut  (Кровь-Палтус);;CZ0346;3,60 EUR;шт;
;        Predator-Z Catfish Jumbo Pellet, 40mm, 850g, liver-garlic (Печень-Чеснок);;CZ0384;3,60 EUR;шт;
;        Predator-Z Catfish Jumbo Pellet, 50mm, 850g, bloody halibut  (Кровь-Палтус);;CZ0353;3,60 EUR;шт;
;        Predator-Z Catfish Jumbo Pellet, 50mm, 850g, liver-garlic (Печень-Чеснок);;CZ0391;3,60 EUR;шт;
;        Predator-Z Catfish Jumbo Pellet, 60mm, 800g, bloody halibut  (Кровь-Палтус);;CZ0360;3,60 EUR;шт;
;        Predator-Z Catfish Jumbo Pellet, 60mm, 800g, liver-garlic (Печень-Чеснок);;CZ0407;3,60 EUR;шт;
;    13. Weigh Slings<(02072)>;;;;;
;        BIG CARP Weigh Sling with zip (Мешок для взвешивания на молнии, размер:111x38x40см.);;CZ0963;11,18 EUR;шт;
;        Elite Carpsack (Элитный карповый мешок, размер:123x81см.);;CZ0994;12,20 EUR;шт;
;    15. Method Mix (Методная прикормка)<(00019)>;;;;;
;        Method Mix, Strawberry-Fish, 1 kg (клубника-рыба);;CZ7439;1,76 EUR;шт;
;        Method Mix, Sweet Spicy Carp, 1 kg  (сладкие специи);;CZ7446;1,76 EUR;шт;
;        Method Mix, Tigernut-Chococaramel, 1 kg (тигровый орех-шоколад);;CZ7453;1,76 EUR;шт;
;    18. Carp Fanatic - All inclusive - Feeder groundbaits (Фидерная прикормка)<(00017)>;;;;;
;        CZ Carp Fanatic Feeder groundbait, 1kg, corn (кукуруза);;CZ1466;1,59 EUR;шт;
;        CZ Carp Fanatic Feeder groundbait, 1kg, fish-halibut (рыба-палтус);;CZ1480;1,59 EUR;шт;
;        CZ Carp Fanatic Feeder groundbait, 1kg, honey (медовая);;CZ5890;1,59 EUR;шт;
;        CZ Carp Fanatic Feeder groundbait, 1kg, plum (слива);;CZ1473;1,59 EUR;шт;
;        CZ Carp Fanatic Feeder groundbait, 1kg, strawberry (клубничная);;CZ5876;1,59 EUR;шт;
;        CZ Carp Fanatic Feeder groundbait, 1kg, vanilla (ванильная);;CZ5883;1,59 EUR;шт;
;    6. Accessories<(01892)>;;;;;
;        CZ Feeder Competition fishing line, 250м, 0,15mm (Леска фидерная для соревнований);;CZ5327;1,88 EUR;шт;
;        CZ Feeder Competition fishing line, 250м, 0,17mm (Леска фидерная для соревнований);;CZ5334;1,88 EUR;шт;
