Категория;Производитель;Артикул;Название;Характеристики;Фото;Цена розн;Цена опт;К-тво
Диски;Tech Line;TL526SW5.5PCD5x114.3ET45DIA67.1;Techline 526S W5.5 PCD5x114.3 ET45 DIA67.1;Диаметр диска:15,Разболтовка PCD:5x114.3,Вылет ET:45,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-526-S.jpg;61,78;57,2;12
Диски;Tech Line;TL530SW6PCD5x112ET45DIA57.1;Techline 530S W6 PCD5x112 ET45 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x112,Вылет ET:45,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-530-S.jpg;60,05;55,6;12
Диски;Tech Line;TL531BDW6PCD4x100ET48DIA54.1;Techline 531BD W6 PCD4x100 ET48 DIA54.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:48,Диаметр отверстия DIA:54.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-531-BD.jpg;64,15;59,4;12
Диски;Tech Line;TL531SW6PCD4x100ET48DIA54.1;Techline 531S W6 PCD4x100 ET48 DIA54.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:48,Диаметр отверстия DIA:54.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-531-S.jpg;64,15;59,4;12
Диски;Tech Line;TL534BDW5.5PCD4x100ET45DIA60.1;Techline 534BD W5.5 PCD4x100 ET45 DIA60.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:45,Диаметр отверстия DIA:60.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-534-BD.jpg;61,78;57,2;12
Диски;Tech Line;TL534SW5.5PCD4x100ET45DIA54.1;Techline 534S W5.5 PCD4x100 ET45 DIA54.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:45,Диаметр отверстия DIA:54.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-534-S.jpg;61,78;57,2;12
Диски;Tech Line;TL535BDW6PCD4x100ET45DIA67.1;Techline 535BD W6 PCD4x100 ET45 DIA67.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:45,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-535-BD.jpg;60,91;56,4;12
Диски;Tech Line;TL535SLW6PCD4x100ET45DIA67.1;Techline 535SL W6 PCD4x100 ET45 DIA67.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:45,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-535-SL.jpg;59,62;55,2;12
Диски;Tech Line;TL535BDW6PCD4x114.3ET45DIA56.6;Techline 535BD W6 PCD4x114.3 ET45 DIA56.6;Диаметр диска:15,Разболтовка PCD:4x114.3,Вылет ET:45,Диаметр отверстия DIA:56.6;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-535-BD.jpg;61,78;57,2;12
Диски;Tech Line;TL535SW6PCD4x114.3ET45DIA56.6;Techline 535S W6 PCD4x114.3 ET45 DIA56.6;Диаметр диска:15,Разболтовка PCD:4x114.3,Вылет ET:45,Диаметр отверстия DIA:56.6;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-535-S.jpg;61,78;57,2;12
Диски;Tech Line;TL537BDW6PCD4x114.3ET45DIA67.1;Techline 537BD W6 PCD4x114.3 ET45 DIA67.1;Диаметр диска:15,Разболтовка PCD:4x114.3,Вылет ET:45,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-537-BD.jpg;63,29;58,6;12
Диски;Tech Line;TL537BDW6PCD4x100ET40/45DIA67.1;Techline 537BD W6 PCD4x100 ET40/45 DIA67.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:40,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-537-BD.jpg;63,29;58,6;12
Диски;Tech Line;TL537SW6PCD5x112ET45DIA57.1;Techline 537S W6 PCD5x112 ET45 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x112,Вылет ET:45,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-537-S.jpg;63,29;58,6;12
Диски;Tech Line;TL538BDW6PCD4x98ET38DIA58.6;Techline 538BD W6 PCD4x98 ET38 DIA58.6;Диаметр диска:15,Разболтовка PCD:4x98,Вылет ET:38,Диаметр отверстия DIA:58.6;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-538-BD.jpg;66,96;62;12
Диски;Tech Line;TL539BDW6PCD5x114.3ET38DIA67.1;Techline 539BD W6 PCD5x114.3 ET38 DIA67.1;Диаметр диска:15,Разболтовка PCD:5x114.3,Вылет ET:38,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-539-BD.jpg;66,10;61,2;12
Диски;Tech Line;TL539SW6PCD4x100ET40DIA60.1;Techline 539S W6 PCD4x100 ET40 DIA60.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:40,Диаметр отверстия DIA:60.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-539-S.jpg;66,10;61,2;12
Диски;Tech Line;TL539BDW6PCD4x100ET40DIA67.1;Techline 539BD W6 PCD4x100 ET40 DIA67.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:40,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-539-BD.jpg;66,10;61,2;12
Диски;Tech Line;TL539BDW6PCD5x100ET38DIA57.1;Techline 539BD W6 PCD5x100 ET38 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x100,Вылет ET:38,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-539-BD.jpg;66,10;61,2;12
Диски;Tech Line;TL539SW6PCD5x112ET45DIA57.1;Techline 539S W6 PCD5x112 ET45 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x112,Вылет ET:45,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-539-S.jpg;66,10;61,2;12
Диски;Tech Line;TL539BDW6PCD5x112ET45DIA57.1;Techline 539BD W6 PCD5x112 ET45 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x112,Вылет ET:45,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-539-BD.jpg;66,10;61,2;12
Диски;Tech Line;TL540BDW6PCD5x112ET40DIA57.1;Techline 540BD W6 PCD5x112 ET40 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x112,Вылет ET:40,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-540-BD.jpg;67,39;62,4;12
Диски;Tech Line;TL540BDW6PCD5x100ET40DIA57.1;Techline 540BD W6 PCD5x100 ET40 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x100,Вылет ET:40,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-540-BD.jpg;67,39;62,4;12
