Категория;Производитель;Артикул;Название;Характеристики;Фото;Цена розн;Цена опт;К-тво
Диски;Tech Line;TL604BDW6.5PCD5x114.3ET45DIA60.1;Techline 604BD W6.5 PCD5x114.3 ET45 DIA60.1;Диаметр диска:16,Разболтовка PCD:5x114.3,Вылет ET:45,Диаметр отверстия DIA:60.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-604-BD.jpg;73,87;68,4;12
Диски;Tech Line;TL604SW6.5PCD5x114.3ET45DIA67.1;Techline 604S W6.5 PCD5x114.3 ET45 DIA67.1;Диаметр диска:16,Разболтовка PCD:5x114.3,Вылет ET:45,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-604-S.jpg;73,87;68,4;12
Диски;Tech Line;TL607BDW6.5PCD5x114.3ET45DIA60.1;Techline 607BD W6.5 PCD5x114.3 ET45 DIA60.1;Диаметр диска:16,Разболтовка PCD:5x114.3,Вылет ET:45,Диаметр отверстия DIA:60.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-607-BD.jpg;73,87;68,4;12
Диски;Tech Line;TL607HBW6.5PCD5x114.3ET45DIA60.1;Techline 607HB W6.5 PCD5x114.3 ET45 DIA60.1;Диаметр диска:16,Разболтовка PCD:5x114.3,Вылет ET:45,Диаметр отверстия DIA:60.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-607-HB.jpg;76,03;70,4;12
Диски;Tech Line;TL612HBW6.5PCD5x114.3ET40DIA66.1;Techline 612HB W6.5 PCD5x114.3 ET40 DIA66.1;Диаметр диска:16,Разболтовка PCD:5x114.3,Вылет ET:40,Диаметр отверстия DIA:66.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-612-HB.jpg;83,16;77;12
Диски;Tech Line;TL618SW6.5PCD5x139.7ET40DIA98;Techline 618S W6.5 PCD5x139.7 ET40 DIA98;Диаметр диска:16,Разболтовка PCD:5x139.7,Вылет ET:40,Диаметр отверстия DIA:98;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-618-S.jpg;79,92;74;12
Диски;Tech Line;TL618BDW6.5PCD5x139.7ET40DIA98;Techline 618BD W6.5 PCD5x139.7 ET40 DIA98;Диаметр диска:16,Разболтовка PCD:5x139.7,Вылет ET:40,Диаметр отверстия DIA:98;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-618-BD.jpg;79,92;74;12
Диски;Tech Line;TL618BDW6.5PCD5x130ET40DIA84.1;Techline 618BD W6.5 PCD5x130 ET40 DIA84.1;Диаметр диска:16,Разболтовка PCD:5x130,Вылет ET:40,Диаметр отверстия DIA:84.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-618-BD.jpg;79,92;74;12
Диски;Tech Line;TL619BDW6.5PCD5x114.3ET38DIA67.1;Techline 619BD W6.5 PCD5x114.3 ET38 DIA67.1;Диаметр диска:16,Разболтовка PCD:5x114.3,Вылет ET:38,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-619-BD.jpg;80,78;74,8;12
Диски;Tech Line;TL619SW6.5PCD5x112ET38DIA66.6;Techline 619S W6.5 PCD5x112 ET38 DIA66.6;Диаметр диска:16,Разболтовка PCD:5x112,Вылет ET:38,Диаметр отверстия DIA:66.6;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-619-S.jpg;80,78;74,8;12
