*ERROR* 	2016/02/26 - 23:44:20: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:44:21: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:44:23: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:44:23: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:46:54: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:46:54: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:46:55: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:46:55: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:46:58: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:46:58: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:49:13: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:49:13: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:49:44: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2016/02/26 - 23:49:45: Shop not found at line 400 in file classes/shop/Shop.php
